Timestamp,ParticipantName,VisualCondition,BoxID,BallName,Stiffness,BlockGrabCount,TotalGrabCount,FirstGrabTimestamp,LastGrabTimestamp,Confidence
2025-08-06 13:08:18.170,M3,Confusion,1,"SpongeBall_1",0,1,11,2025-08-06 13:08:15.753,2025-08-06 13:08:15.753,5
2025-08-06 13:08:48.624,M3,Confusion,5,"StealBall_2",0.5,1,12,2025-08-06 13:08:45.823,2025-08-06 13:08:45.823,4
2025-08-06 13:08:55.892,M3,Confusion,5,"BouncyBall_3",1,1,13,2025-08-06 13:08:53.920,2025-08-06 13:08:53.920,4
2025-08-06 13:09:02.798,M3,Confusion,3,"FeltBall_4",0.1,1,14,2025-08-06 13:09:00.041,2025-08-06 13:09:00.041,5
2025-08-06 13:09:08.971,M3,Confusion,4,"FeltBall_5",0.3,1,15,2025-08-06 13:09:07.141,2025-08-06 13:09:07.141,5
2025-08-06 13:09:15.931,M3,Confusion,1,"StealBall_6",0,1,16,2025-08-06 13:09:13.250,2025-08-06 13:09:13.250,5
2025-08-06 13:09:24.358,M3,Confusion,4,"StealBall_7",0.5,1,17,2025-08-06 13:09:22.252,2025-08-06 13:09:22.252,4
2025-08-06 13:09:30.021,M3,Confusion,1,"SpongeBall_8",0,1,18,2025-08-06 13:09:28.226,2025-08-06 13:09:28.226,5
2025-08-06 13:09:36.720,M3,Confusion,2,"BouncyBall_9",0.1,1,19,2025-08-06 13:09:34.806,2025-08-06 13:09:34.806,4
2025-08-06 13:09:50.852,M3,Confusion,3,"BaseBall_10",0.3,3,22,2025-08-06 13:09:43.035,2025-08-06 13:09:49.173,4
2025-08-06 13:09:57.912,M3,Confusion,5,"BaseBall_11",1,1,23,2025-08-06 13:09:54.762,2025-08-06 13:09:54.762,5
2025-08-06 13:10:05.263,M3,Confusion,4,"BouncyBall_12",0.5,1,24,2025-08-06 13:10:02.406,2025-08-06 13:10:02.406,4
2025-08-06 13:10:17.734,M3,Confusion,5,"SpongeBall_13",1,1,25,2025-08-06 13:10:15.295,2025-08-06 13:10:15.295,5
2025-08-06 13:10:26.429,M3,Confusion,4,"BaseBall_14",0.3,1,26,2025-08-06 13:10:22.362,2025-08-06 13:10:22.362,5
2025-08-06 13:10:38.467,M3,Confusion,2,"FeltBall_15",0.1,2,28,2025-08-06 13:10:32.868,2025-08-06 13:10:35.558,3
