Timestamp,ParticipantName,VisualCondition,LoadCondition,EventType,BoxID,BallName,CognitiveTaskCorrect,CognitiveTaskResponseTime
2025-07-21 14:54:30.409,Player01,Base,Low,Ball_Sorted,4,"100(Clone)",False,0
2025-07-21 14:54:30.463,Player01,Base,Low,Ball_Sorted,5,"100(Clone)",False,0
2025-07-21 14:54:34.669,Player01,Base,Low,Ball_Sorted,4,"50(Clone)",False,0
2025-07-21 14:54:43.483,Player01,Base,Low,Ball_Sorted,3,"30(Clone)",False,0
2025-07-21 14:54:48.480,Player01,Base,Low,Ball_Sorted,2,"10(Clone)",False,0
2025-07-21 14:54:50.904,Player01,Base,Low,Cognitive_Task,0,"",True,5.27882
2025-07-21 14:54:55.092,Player01,Base,Low,Ball_Sorted,4,"100(Clone)",False,0
2025-07-21 14:54:55.119,Player01,Base,Low,Ball_Sorted,5,"100(Clone)",False,0
2025-07-21 14:55:02.947,Player01,Base,Low,Ball_Sorted,3,"30(Clone)",False,0
2025-07-21 14:55:11.254,Player01,Base,Low,Ball_Sorted,3,"30(Clone)",False,0
2025-07-21 14:55:17.356,Player01,Base,Low,Ball_Sorted,4,"100(Clone)",False,0
2025-07-21 14:55:28.244,Player01,Base,Low,Ball_Sorted,4,"50(Clone)",False,0
2025-07-21 14:55:31.697,Player01,Base,Low,Ball_Sorted,2,"10(Clone)",False,0
2025-07-21 14:55:38.228,Player01,Base,Low,Ball_Sorted,2,"10(Clone)",False,0
2025-07-21 14:55:44.228,Player01,Base,Low,Ball_Sorted,3,"30(Clone)",False,0
2025-07-21 14:55:47.905,Player01,Base,Low,Ball_Sorted,4,"50(Clone)",False,0
2025-07-21 14:55:49.746,Player01,Base,Low,Cognitive_Task,0,"",False,12.97543
2025-07-21 14:55:53.862,Player01,Base,Low,Ball_Sorted,2,"0(Clone)",False,0
2025-07-21 14:55:53.918,Player01,Base,Low,Ball_Sorted,1,"0(Clone)",False,0
2025-07-21 14:55:59.599,Player01,Base,Low,Ball_Sorted,4,"100(Clone)",False,0
2025-07-21 14:56:03.387,Player01,Base,Low,Ball_Sorted,2,"0(Clone)",False,0
