Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 20:16:55.626,Player01,Base,Low,100-1,1,1,1
2025-07-21 20:16:59.459,Player01,Base,Low,0-2,0,1,2
2025-07-21 20:17:01.813,Player01,Base,Low,0-3,0,1,3
2025-07-21 20:17:03.763,Player01,Base,Low,100-4,1,1,4
2025-07-21 20:17:06.125,Player01,Base,Low,30-5,0.3,1,5
2025-07-21 20:17:08.799,Player01,Base,Low,10-6,0.1,1,6
2025-07-21 20:17:10.973,Player01,Base,Low,30-7,0.3,1,7
2025-07-21 20:17:15.318,Player01,Base,Low,30-8,0.3,1,8
2025-07-21 20:17:20.313,Player01,Base,Low,50-9,0.5,1,9
2025-07-21 20:17:25.745,Player01,Base,Low,0-10,0,1,10
2025-07-21 20:17:29.837,Player01,Base,Low,0-11,0,1,11
2025-07-21 20:17:33.521,Player01,Base,Low,10-12,0.1,1,12
2025-07-21 20:17:40.461,Player01,Base,Low,0-14,0,1,13
2025-07-21 20:17:43.244,Player01,Base,Low,10-15,0.1,1,14
2025-07-21 20:17:45.485,Player01,Base,Low,50-16,0.5,1,15
2025-07-21 20:17:51.832,Player01,Base,Low,50-18,0.5,1,16
2025-07-21 20:17:56.012,Player01,Base,Low,0-20,0,1,17
2025-07-21 20:18:00.284,Player01,Base,Low,100-21,1,1,18
