Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 19:02:13.276,Player01,,,50,0.5,1,1
2025-07-21 19:02:16.770,Player01,,,30,0.3,1,2
2025-07-21 19:02:19.234,Player01,,,100,1,1,3
2025-07-21 19:02:29.090,Player01,Base,Low,30-1,0.3,1,4
2025-07-21 19:02:33.741,Player01,Base,Low,50-2,0.5,1,5
2025-07-21 19:02:36.678,Player01,Base,Low,10-3,0.1,1,6
2025-07-21 19:02:41.618,Player01,Base,Low,30-4,0.3,1,7
2025-07-21 19:02:46.045,Player01,Base,Low,50-5,0.5,1,8
2025-07-21 19:02:50.724,Player01,Base,Low,10-6,0.1,1,9
2025-07-21 19:02:55.012,Player01,Base,Low,50-7,0.5,1,10
2025-07-21 19:02:58.190,Player01,Base,Low,100-8,1,1,11
2025-07-21 19:03:01.057,Player01,Base,Low,10-9,0.1,1,12
2025-07-21 19:03:04.790,Player01,Base,Low,50-10,0.5,1,13
2025-07-21 19:03:09.004,Player01,Base,Low,100-11,1,1,14
2025-07-21 19:03:12.207,Player01,Base,Low,10-12,0.1,1,15
2025-07-21 19:03:15.658,Player01,Base,Low,0-13,0,1,16
2025-07-21 19:03:19.500,Player01,Base,Low,100-14,1,1,17
2025-07-21 19:03:22.994,Player01,Base,Low,100-15,1,1,18
2025-07-21 19:03:26.740,Player01,Base,Low,10-16,0.1,1,19
2025-07-21 19:03:30.066,Player01,Base,Low,100-17,1,1,20
2025-07-21 19:03:32.964,Player01,Base,Low,30-18,0.3,1,21
2025-07-21 19:03:36.040,Player01,Base,Low,0-19,0,1,22
2025-07-21 19:03:44.045,Player01,Base,Low,10-20,0.1,1,23
2025-07-21 19:03:48.463,Player01,Base,Low,30-22,0.3,1,24
