Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 18:23:00.488,Player01,,,50,0.5,1,1
2025-07-21 18:23:04.512,Player01,,,30,0.3,1,2
2025-07-21 18:23:08.632,Player01,,,0,0,1,3
2025-07-21 18:23:12.754,Player01,,,10,0.1,1,4
2025-07-21 18:23:16.429,Player01,,,100,1,1,5
2025-07-21 18:23:31.882,Player01,Base,Low,50-1,0.5,1,6
2025-07-21 18:23:52.970,Player01,Base,Low,10-3,0.1,1,7
2025-07-21 18:23:58.764,Player01,Base,Low,50-4,0.5,1,8
2025-07-21 18:24:05.514,Player01,Base,Low,0-6,0,1,9
2025-07-21 18:24:14.182,Player01,Base,Low,30-7,0.3,1,10
2025-07-21 18:24:18.609,Player01,Base,Low,100-8,1,1,11
2025-07-21 18:24:22.913,Player01,Base,Low,30-9,0.3,1,12
2025-07-21 18:24:26.329,Player01,Base,Low,10-10,0.1,1,13
2025-07-21 18:24:31.032,Player01,Base,Low,50-11,0.5,1,14
2025-07-21 18:24:35.251,Player01,Base,Low,30-12,0.3,1,15
2025-07-21 18:24:38.956,Player01,Base,Low,50-13,0.5,1,16
2025-07-21 18:24:45.806,Player01,Base,Low,30-14,0.3,1,17
2025-07-21 18:24:59.046,Player01,Base,Low,100-15,1,1,18
2025-07-21 18:25:04.140,Player01,Base,Low,10-16,0.1,1,19
2025-07-21 18:25:07.968,Player01,Base,Low,10-17,0.1,1,20
2025-07-21 18:25:12.229,Player01,Base,Low,100-19,1,1,21
2025-07-21 18:25:19.857,Player01,Base,Low,30-20,0.3,1,22
