Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 18:35:14.639,Player01,,,50,0.5,1,1
2025-07-21 18:35:21.281,Player01,,,30,0.3,1,2
2025-07-21 18:35:25.149,Player01,,,100,1,1,3
2025-07-21 18:35:28.450,Player01,,,0,0,1,4
2025-07-21 18:35:32.152,Player01,,,10,0.1,1,5
2025-07-21 18:35:42.609,Player01,Base,Low,100-1,1,1,6
2025-07-21 18:35:45.740,Player01,Base,Low,0-2,0,1,7
2025-07-21 18:35:49.015,Player01,Base,Low,30-3,0.3,1,8
2025-07-21 18:35:52.744,Player01,Base,Low,10-5,0.1,1,9
2025-07-21 18:35:55.793,Player01,Base,Low,50-6,0.5,1,10
2025-07-21 18:35:59.285,Player01,Base,Low,50-7,0.5,1,11
2025-07-21 18:36:02.028,Player01,Base,Low,50-8,0.5,1,12
2025-07-21 18:36:04.786,Player01,Base,Low,10-9,0.1,1,13
2025-07-21 18:36:07.793,Player01,Base,Low,100-10,1,1,14
2025-07-21 18:36:12.024,Player01,Base,Low,0-11,0,1,15
2025-07-21 18:36:28.818,Player01,Base,Low,0-13,0,1,16
2025-07-21 18:36:32.196,Player01,Base,Low,100-14,1,1,17
2025-07-21 18:36:36.792,Player01,Base,Low,100-16,1,1,18
2025-07-21 18:36:40.786,Player01,Base,Low,30-17,0.3,1,19
2025-07-21 18:36:46.049,Player01,Base,Low,0-18,0,1,20
2025-07-21 18:36:50.353,Player01,Base,Low,0-19,0,1,21
2025-07-21 18:36:52.969,Player01,Base,Low,30-20,0.3,1,22
