Timestamp,PlayerName,VisualCondition,LoadCondition,ObjectName,Stiffness,BlockGrabCount,TotalGrabCount
2025-07-21 18:29:39.100,Player01,,,100,1,1,1
2025-07-21 18:29:43.708,Player01,,,30,0.3,1,2
2025-07-21 18:29:47.954,Player01,,,50,0.5,1,3
2025-07-21 18:29:50.952,Player01,,,50,0.5,2,4
2025-07-21 18:29:54.097,Player01,,,0,0,1,5
2025-07-21 18:29:59.469,Player01,,,10,0.1,1,6
2025-07-21 18:30:20.003,Player01,Base,Low,0-1,0,1,7
2025-07-21 18:30:28.117,Player01,Base,Low,10-2,0.1,1,8
2025-07-21 18:30:33.841,Player01,Base,Low,100-3,1,1,9
2025-07-21 18:30:40.175,Player01,Base,Low,30-4,0.3,1,10
2025-07-21 18:30:44.423,Player01,Base,Low,0-5,0,1,11
2025-07-21 18:30:48.114,Player01,Base,Low,10-6,0.1,1,12
2025-07-21 18:30:51.591,Player01,Base,Low,100-7,1,1,13
2025-07-21 18:30:54.900,Player01,Base,Low,100-8,1,1,14
2025-07-21 18:30:58.859,Player01,Base,Low,30-9,0.3,1,15
2025-07-21 18:31:03.133,Player01,Base,Low,0-10,0,1,16
2025-07-21 18:31:07.296,Player01,Base,Low,30-11,0.3,1,17
2025-07-21 18:31:11.098,Player01,Base,Low,100-12,1,1,18
2025-07-21 18:31:14.967,Player01,Base,Low,100-13,1,1,19
2025-07-21 18:31:18.935,Player01,Base,Low,10-14,0.1,1,20
2025-07-21 18:31:22.900,Player01,Base,Low,0-15,0,1,21
2025-07-21 18:31:25.910,Player01,Base,Low,50-16,0.5,1,22
