Timestamp,ParticipantName,VisualCondition,BoxID,BallName,Stiffness,BlockGrabCount,TotalGrabCount,FirstGrabTimestamp,LastGrabTimestamp,Confidence
2025-08-05 19:55:12.474,M1,Base,5,"100_1",1,1,46,2025-08-05 19:55:10.568,2025-08-05 19:55:10.568,5
2025-08-05 19:55:19.499,M1,Base,5,"100_2",1,1,47,2025-08-05 19:55:17.652,2025-08-05 19:55:17.652,5
2025-08-05 19:55:24.511,M1,Base,2,"10_3",0.1,1,48,2025-08-05 19:55:22.772,2025-08-05 19:55:22.772,5
2025-08-05 19:55:31.845,M1,Base,3,"30_4",0.3,1,49,2025-08-05 19:55:29.606,2025-08-05 19:55:29.606,5
2025-08-05 19:55:39.742,M1,Base,3,"30_5",0.3,1,50,2025-08-05 19:55:38.472,2025-08-05 19:55:38.472,5
2025-08-05 19:55:45.503,M1,Base,1,"0_6",0,1,51,2025-08-05 19:55:43.682,2025-08-05 19:55:43.682,5
2025-08-05 19:55:54.845,M1,Base,4,"50_7",0.5,1,52,2025-08-05 19:55:52.965,2025-08-05 19:55:52.965,5
2025-08-05 19:56:07.828,M1,Base,2,"10_8",0.1,1,53,2025-08-05 19:56:05.874,2025-08-05 19:56:05.874,5
2025-08-05 19:56:16.015,M1,Base,5,"100_9",1,1,54,2025-08-05 19:56:12.153,2025-08-05 19:56:12.153,5
2025-08-05 19:56:23.017,M1,Base,1,"0_10",0,1,55,2025-08-05 19:56:21.562,2025-08-05 19:56:21.562,5
2025-08-05 19:56:34.295,M1,Base,4,"50_11",0.5,2,57,2025-08-05 19:56:32.348,2025-08-05 19:56:32.656,5
2025-08-05 19:56:39.692,M1,Base,1,"0_12",0,1,58,2025-08-05 19:56:37.918,2025-08-05 19:56:37.918,5
2025-08-05 19:56:46.133,M1,Base,2,"10_13",0.1,1,59,2025-08-05 19:56:44.896,2025-08-05 19:56:44.896,5
2025-08-05 19:56:51.612,M1,Base,4,"50_14",0.5,1,60,2025-08-05 19:56:49.875,2025-08-05 19:56:49.875,5
2025-08-05 19:56:56.201,M1,Base,3,"30_15",0.3,1,61,2025-08-05 19:56:55.053,2025-08-05 19:56:55.053,5
